subject,grade,strand,topic,skill,questionCount,sampleQuestionIds,proposedCodes,codeLabels,confidence,rationale,status
numeracy,5,Number & Arithmetic,Place value,Add a power of ten,1,g5-icas-math-b01-001,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number & Arithmetic,Place value,Use digit constraints,1,g5-icas-math-b01-033,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number & Arithmetic,Properties,Match number properties,1,g5-icas-math-b01-038,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number & Arithmetic,Rounding,Use a rounding interval,1,g5-icas-math-b01-016,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number and Algebra,Addition,Addition,38,"gen-num-add-00667, gen-num-add-00675",VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number and Algebra,Comparing numbers,Comparing numbers,16,"gen-num-compare-00877, gen-num-compare-00879",VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number and Algebra,Number lines,Number lines,5,"gen-num-nl-00970, gen-num-nl-00972",VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number and Algebra,Place value,Place value,16,"gen-num-place-00878, gen-num-place-00880",VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number and Algebra,Rounding,Rounding,36,"gen-num-round-00672, gen-num-round-00680",VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number and Algebra,Subtraction,Subtraction,38,"gen-num-sub-00668, gen-num-sub-00676",VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
language_conventions,3,Conventions of language,Homophones,Homophones,13,"gen-lang-homo-00370, gen-lang-homo-00378",VC2E3LY06,"High-frequency word recognition, homophones and spelling",high,"Aligns with high-frequency word recognition, homophones and spelling (VC2E3LY06).",mapped
language_conventions,3,Conventions of language,Plurals,Plurals,12,"gen-lang-plural-00366, gen-lang-plural-00374",VC2E3LY04,"Morphological awareness: base words, prefixes, suffixes and spelling rules",high,"Aligns with morphological awareness: base words, prefixes, suffixes and spelling rules (VC2E3LY04).",mapped
language_conventions,3,Conventions of language,Punctuation,Punctuation,13,"gen-lang-punct-00367, gen-lang-punct-00375",VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Conventions of language,Spelling,Spelling,13,"gen-lang-spell-00364, gen-lang-spell-00372",VC2E3LY05,Spelling complex and less common grapheme patterns,high,Aligns with spelling complex and less common grapheme patterns (VC2E3LY05).,mapped
language_conventions,3,Conventions of language,Verb tense,Verb tense,11,"gen-lang-tense-00365, gen-lang-tense-00373",VC2E3LA08,Tense consistency and temporal anchoring of verbs,high,Aligns with tense consistency and temporal anchoring of verbs (VC2E3LA08).,mapped
language_conventions,3,Grammar,Adjectives,Comparative adjectives (-er),1,naplan-y3-language-db-006,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Adjectives,Using superlative adjectives (-est),1,naplan-y3-language-dd-001,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Adjectives and adverbs,Identifying an adverb of manner in a sentence,1,naplan-y3-language-da-012,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Adverbs,Recognising adverbs,1,g3-nap-lang-adverb-001,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Articles,Using 'a' and 'an' before nouns,1,naplan-y3-language-db-002,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Conjunctions,Matching conjunctions to their function,1,naplan-y3-language-da-013,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Consistent verb tense,Keep verb tense consistent within a sentence,1,naplan-y3-language-f1-006,VC2E3LA08,Tense consistency and temporal anchoring of verbs,high,Aligns with tense consistency and temporal anchoring of verbs (VC2E3LA08).,mapped
language_conventions,3,Grammar,Grammar,lang.prod.grammar.irregular-plurals,2,"man-a8240b4e5de818527aca377b, man-de38ddae0b57f3ab5e9b7426",VC2E3LY04,"Morphological awareness: base words, prefixes, suffixes and spelling rules",high,"Aligns with morphological awareness: base words, prefixes, suffixes and spelling rules (VC2E3LY04).",mapped
language_conventions,3,Grammar,Grammar,lang.prod.grammar.subject-verb-agreement,3,"man-360320684b50e4ac4970b373, man-a80047918def6193d5bb63e7",VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Grammar,lang.prod.grammar.verb-tense,2,"man-64201fc8b6c1343f17e868be, man-8feadd8596961a7c2dbf06ff",VC2E3LA08,Tense consistency and temporal anchoring of verbs,high,Aligns with tense consistency and temporal anchoring of verbs (VC2E3LA08).,mapped
language_conventions,3,Grammar,Grammar,lit.grammar.subject-verb-agreement,2,"man-812b7ccea04a50350d827a4f, man-9023db8469977d6d65af7470",VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Irregular plurals,Forming irregular plural nouns,1,g3-nap-lang-plural-001,VC2E3LY04,"Morphological awareness: base words, prefixes, suffixes and spelling rules",high,"Aligns with morphological awareness: base words, prefixes, suffixes and spelling rules (VC2E3LY04).",mapped
language_conventions,3,Grammar,Nouns and verbs,Sorting nouns and verbs,1,g3-nap-lang-wordsort-001,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Parts of speech,Identify a pronoun in a sentence,1,naplan-y3-language-f1-009,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Parts of speech,"Identifying nouns, verbs and adjectives",1,naplan-y3-language-db-007,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Pronouns,Choosing the correct subject pronoun (we),1,naplan-y3-language-dd-002,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Sentence completeness,Ordering words to build a complete question,1,naplan-y3-language-da-016,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Grammar,Sentence structure,Ordering words to build a statement,1,naplan-y3-language-db-008,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Grammar,Subject-verb agreement,Match a plural subject to its verb,1,naplan-y3-language-f1-015,VC2E3LY04,"Morphological awareness: base words, prefixes, suffixes and spelling rules",high,"Aligns with morphological awareness: base words, prefixes, suffixes and spelling rules (VC2E3LY04).",mapped
language_conventions,3,Grammar,Subject-verb agreement,Match a singular subject to its verb,1,naplan-y3-language-f1-005,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Subject-verb agreement,Matching a plural subject to don't,1,naplan-y3-language-dd-011,VC2E3LY04,"Morphological awareness: base words, prefixes, suffixes and spelling rules",high,"Aligns with morphological awareness: base words, prefixes, suffixes and spelling rules (VC2E3LY04).",mapped
language_conventions,3,Grammar,Subject-verb agreement,Matching a plural subject to its verb,1,naplan-y3-language-da-010,VC2E3LY04,"Morphological awareness: base words, prefixes, suffixes and spelling rules",high,"Aligns with morphological awareness: base words, prefixes, suffixes and spelling rules (VC2E3LY04).",mapped
language_conventions,3,Grammar,Subject-verb agreement,Matching verbs to singular and plural subjects,1,g3-nap-lang-agreement-001,VC2E3LY04,"Morphological awareness: base words, prefixes, suffixes and spelling rules",high,"Aligns with morphological awareness: base words, prefixes, suffixes and spelling rules (VC2E3LY04).",mapped
language_conventions,3,Grammar,Verb agreement,Choosing has or have to match the subject,1,naplan-y3-language-db-011,VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Grammar,Verb agreement,Subject-verb agreement (was / were),1,naplan-y3-language-db-005,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Grammar,Verb tense,Choosing the correct past tense,1,g3-nap-lang-tense-001,VC2E3LA08,Tense consistency and temporal anchoring of verbs,high,Aligns with tense consistency and temporal anchoring of verbs (VC2E3LA08).,mapped
language_conventions,3,Grammar,Verb tense,Irregular past tense verbs (run - ran),1,naplan-y3-language-db-009,VC2E3LA08,Tense consistency and temporal anchoring of verbs,high,Aligns with tense consistency and temporal anchoring of verbs (VC2E3LA08).,mapped
language_conventions,3,Grammar,Verb tense,Matching verb tense to a past-time signal,1,naplan-y3-language-da-009,VC2E3LA08,Tense consistency and temporal anchoring of verbs,high,Aligns with tense consistency and temporal anchoring of verbs (VC2E3LA08).,mapped
language_conventions,3,Grammar,Verb tense,Using 'will' for the future tense,1,naplan-y3-language-dd-016,VC2E3LA08,Tense consistency and temporal anchoring of verbs,high,Aligns with tense consistency and temporal anchoring of verbs (VC2E3LA08).,mapped
language_conventions,3,Grammar,Word classes,Identifying verbs in a sentence,1,naplan-y3-language-dd-012,VC2E3LA07,"Verb processes for actions, feelings, thoughts and states",high,"Aligns with verb processes for actions, feelings, thoughts and states (VC2E3LA07).",mapped
language_conventions,3,Parts of speech,Parts of speech,lang.prod.parts-of-speech.nouns-and-verbs,2,"man-4b736a487bd8301b4af8e8a9, man-fc9df8a6403652a38d973fd0",VC2E3LA06,Clause structures and grammatical relationships in sentences,high,Aligns with clause structures and grammatical relationships in sentences (VC2E3LA06).,mapped
language_conventions,3,Phonics,Syllables,Counting syllables in a word,1,icas-y3-language-c-014,VC2E3LY05,Spelling complex and less common grapheme patterns,high,Aligns with spelling complex and less common grapheme patterns (VC2E3LY05).,mapped
language_conventions,3,Punctuation,Apostrophes,Forming contractions with n't (didn't),1,naplan-y3-language-db-012,VC2E3LA12,Apostrophes of contraction and possessive apostrophes in singular nouns,high,Aligns with apostrophes of contraction and possessive apostrophes in singular nouns (VC2E3LA12).,mapped
language_conventions,3,Punctuation,Apostrophes,Matching contractions to their full words,1,naplan-y3-language-dd-006,VC2E3LA12,Apostrophes of contraction and possessive apostrophes in singular nouns,high,Aligns with apostrophes of contraction and possessive apostrophes in singular nouns (VC2E3LA12).,mapped
language_conventions,3,Punctuation,Apostrophes for contractions,Form a contraction with a correctly placed apostrophe,1,naplan-y3-language-f1-010,VC2E3LA12,Apostrophes of contraction and possessive apostrophes in singular nouns,high,Aligns with apostrophes of contraction and possessive apostrophes in singular nouns (VC2E3LA12).,mapped
language_conventions,3,Punctuation,Apostrophes for possession,Use an apostrophe to show singular possession,1,naplan-y3-language-f1-011,VC2E3LA12,Apostrophes of contraction and possessive apostrophes in singular nouns,high,Aligns with apostrophes of contraction and possessive apostrophes in singular nouns (VC2E3LA12).,mapped
language_conventions,3,Punctuation,Apostrophes for possession,Using an apostrophe to show singular possession,1,naplan-y3-language-da-005,VC2E3LA12,Apostrophes of contraction and possessive apostrophes in singular nouns,high,Aligns with apostrophes of contraction and possessive apostrophes in singular nouns (VC2E3LA12).,mapped
language_conventions,3,Punctuation,Apostrophes in contractions,Forming contractions with an apostrophe,1,naplan-y3-language-da-004,VC2E3LA12,Apostrophes of contraction and possessive apostrophes in singular nouns,high,Aligns with apostrophes of contraction and possessive apostrophes in singular nouns (VC2E3LA12).,mapped
language_conventions,3,Punctuation,Capital letters,Capital letters for months of the year,1,naplan-y3-language-db-010,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Capital letters,Capital letters: sentence start and days of the week,1,naplan-y3-language-db-013,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Capital letters,Capitalising proper nouns (names and places),1,naplan-y3-language-dd-009,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Capital letters,Capitalising the pronoun I,1,naplan-y3-language-db-015,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Capital letters,Use capital letters for sentence starts and proper nouns,1,naplan-y3-language-f1-002,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Capital letters,Using capital letters for sentences and proper nouns,1,g3-nap-lang-capitals-001,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Capital letters and full stops,Using capital letters and full stops correctly,1,naplan-y3-language-da-001,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Commas,Using a comma after an introductory phrase,1,naplan-y3-language-dd-014,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Commas in a list,Place commas correctly in a list,1,naplan-y3-language-f1-003,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Commas in compound sentences,Use a comma before a joining word in a compound sentence,1,naplan-y3-language-f1-004,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Commas in lists,Using commas to separate items in a list,1,naplan-y3-language-da-003,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Contractions,Forming contractions with apostrophes,1,g3-nap-lang-contraction-001,VC2E3LA12,Apostrophes of contraction and possessive apostrophes in singular nouns,high,Aligns with apostrophes of contraction and possessive apostrophes in singular nouns (VC2E3LA12).,mapped
language_conventions,3,Punctuation,End punctuation,Choose the correct end mark for a question,1,naplan-y3-language-f1-016,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,End punctuation,Choose the correct end punctuation for a sentence,1,naplan-y3-language-f1-001,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Punctuation,lang.prod.punctuation.capital-letters,2,"man-161f6783e0e5fc88b1299896, man-8aff206d0b3b6eda0bd0d551",VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Punctuation,lang.prod.punctuation.contractions,2,"man-3b6897fd067acdccbeb81329, man-fbfac93a756ff12990000197",VC2E3LA12,Apostrophes of contraction and possessive apostrophes in singular nouns,high,Aligns with apostrophes of contraction and possessive apostrophes in singular nouns (VC2E3LA12).,mapped
language_conventions,3,Punctuation,Punctuation,lit.grammar.capital-letters,2,"man-2f90ebb111e55f545379c70e, man-8854b0dd233ccc1a56b1c42d",VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Punctuation,lit.grammar.full-stops-question-marks,2,"man-d001ce723ad9d1726ade297b, man-dcffdb258ee6e1b55bc43017",VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Question marks,Ending a question with a question mark,1,naplan-y3-language-da-002,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Sentence punctuation,Ending a question with a question mark,1,naplan-y3-language-dd-005,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Sentence structure,Ordering words to build an exclamation,1,naplan-y3-language-dd-007,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Punctuation,Speech marks,Punctuating spoken words with speech marks,1,naplan-y3-language-da-006,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",high,"Aligns with editing and proofreading for structure, grammar and punctuation (VC2E3LY12).",mapped
language_conventions,3,Spelling,Common tricky words,Choosing the correctly spelled word (because),1,naplan-y3-language-db-001,VC2E3LY05,Spelling complex and less common grapheme patterns,high,Aligns with spelling complex and less common grapheme patterns (VC2E3LY05).,mapped
language_conventions,3,Spelling,Common word spelling,Choose the correct spelling of a common word,1,naplan-y3-language-f1-013,VC2E3LY06,"High-frequency word recognition, homophones and spelling",high,"Aligns with high-frequency word recognition, homophones and spelling (VC2E3LY06).",mapped
language_conventions,3,Spelling,Common word spelling,Spot a misspelled common Year 3 word,1,naplan-y3-language-f1-012,VC2E3LY06,"High-frequency word recognition, homophones and spelling",high,"Aligns with high-frequency word recognition, homophones and spelling (VC2E3LY06).",mapped
language_conventions,3,Spelling,Correcting misspelt words,Spelling common adjectives,1,g3-nap-lang-spelling-001,VC2E3LY05,Spelling complex and less common grapheme patterns,high,Aligns with spelling complex and less common grapheme patterns (VC2E3LY05).,mapped
